;org:group;concept:instance;org:resource;Activity;Complete Timestamp;lifecycle:transition;case:startdate;case:responsible;case:enddate_planned;case:department;case:group;Case ID;case:deadline;case:channel;case:enddate;Duration
212;Group 3;task-44761;Resource03;T04 Determine confirmation of receipt;2011-10-26 14:10:19.743000+00:00;complete;2011-10-21 23:06:40.020000+00:00;Resource11;2011-12-17 00:06:40.010000+00:00;General;Group 8;case-10147;2011-12-17 00:06:40+00:00;Internet;2011-11-21 13:00:38.805000+00:00;15.884
213;Group 2;task-44762;Resource03;T05 Print and send confirmation of receipt;2011-10-26 14:10:44.250000+00:00;complete;2011-10-21 23:06:40.020000+00:00;Resource11;2011-12-17 00:06:40.010000+00:00;General;Group 8;case-10147;2011-12-17 00:06:40+00:00;Internet;2011-11-21 13:00:38.805000+00:00;24.507
214;Group 1;task-44760;Resource03;T06 Determine necessity of stop advice;2011-10-26 14:10:58.544000+00:00;complete;2011-10-21 23:06:40.020000+00:00;Resource11;2011-12-17 00:06:40.010000+00:00;General;Group 8;case-10147;2011-12-17 00:06:40+00:00;Internet;2011-11-21 13:00:38.805000+00:00;14.294
215;Group 1;task-44763;Resource03;T10 Determine necessity to stop indication;2011-10-26 14:11:19.812000+00:00;complete;2011-10-21 23:06:40.020000+00:00;Resource11;2011-12-17 00:06:40.010000+00:00;General;Group 8;case-10147;2011-12-17 00:06:40+00:00;Internet;2011-11-21 13:00:38.805000+00:00;21.268
216;EMPTY;task-44315;Resource03;Confirmation of receipt;2011-11-10 10:00:39.952000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;0.0
217;Group 4;task-46200;Resource03;T02 Check confirmation of receipt;2011-11-10 10:01:15.080000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;35.128
218;Group 3;task-46202;Resource03;T04 Determine confirmation of receipt;2011-11-10 10:02:07.499000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;52.419
219;Group 2;task-46203;Resource03;T05 Print and send confirmation of receipt;2011-11-10 10:02:24.015000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;16.516
220;Group 1;task-46201;Resource03;T06 Determine necessity of stop advice;2011-11-10 10:02:41.340000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;17.325
221;Group 1;task-46204;Resource03;T10 Determine necessity to stop indication;2011-11-10 10:03:55.840000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource11;2011-12-18 00:06:40.010000+00:00;General;Group 8;case-10159;2011-12-18 00:06:40+00:00;Internet;2011-12-07 07:39:52.978000+00:00;74.5
222;EMPTY;task-44421;Resource02;Confirmation of receipt;2011-10-25 13:20:00.343000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource02;2012-01-29 00:06:40.010000+00:00;General;Group 5;case-10160;2012-01-29 00:06:40+00:00;Internet;;0.0
223;Group 4;task-44532;Resource02;T02 Check confirmation of receipt;2011-10-25 13:21:08.384000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource02;2012-01-29 00:06:40.010000+00:00;General;Group 5;case-10160;2012-01-29 00:06:40+00:00;Internet;;68.041
224;Group 3;task-44534;Resource02;T04 Determine confirmation of receipt;2011-10-25 13:21:33.582000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource02;2012-01-29 00:06:40.010000+00:00;General;Group 5;case-10160;2012-01-29 00:06:40+00:00;Internet;;25.198
225;Group 2;task-44535;Resource02;T05 Print and send confirmation of receipt;2011-10-25 13:22:26.004000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource02;2012-01-29 00:06:40.010000+00:00;General;Group 5;case-10160;2012-01-29 00:06:40+00:00;Internet;;52.422
226;Group 1;task-44533;Resource02;T06 Determine necessity of stop advice;2011-10-25 13:24:25.818000+00:00;complete;2011-10-22 23:06:40.020000+00:00;Resource02;2012-01-29 00:06:40.010000+00:00;General;Group 5;case-10160;2012-01-29 00:06:40+00:00;Internet;;119.814
227;Group 1;task-44838;admin2;Confirmation of receipt;2011-10-27 08:17:24.156000+00:00;complete;2011-10-22 23:06:40.020000+00:00;admin3;2011-12-18 00:06:40.010000+00:00;Customer contact;;case-10163;2011-12-18 00:06:40+00:00;Internet;2011-10-27 08:17:23.186000+00:00;0.0
232;EMPTY;task-44619;Resource09;Confirmation of receipt;2011-12-09 13:16:10.879000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;0.0
233;Group 4;task-49575;Resource09;T02 Check confirmation of receipt;2011-12-09 13:16:39.383000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;28.504
234;Group 3;task-49577;Resource09;T04 Determine confirmation of receipt;2011-12-09 13:17:02.175000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;22.792
235;Group 1;task-49576;Resource09;T06 Determine necessity of stop advice;2011-12-09 13:17:35.863000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;33.688
236;Group 1;task-49579;Resource09;T10 Determine necessity to stop indication;2011-12-09 13:24:28.994000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;413.131
237;Group 2;task-49578;Resource09;T05 Print and send confirmation of receipt;2011-12-09 13:30:04.403000+00:00;complete;2011-10-24 23:06:40.020000+00:00;Resource09;2011-12-19 23:00:00.010000+00:00;General;Group 5;case-10183;2013-01-01 23:00:00+00:00;Internet;;335.409
238;EMPTY;task-44570;admin2;Confirmation of receipt;2012-01-17 10:28:47.373000+00:00;complete;2011-10-04 23:06:40.020000+00:00;Resource02;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10194;2011-12-22 00:06:40+00:00;Internet;2012-01-17 10:28:46.518000+00:00;0.0
239;EMPTY;task-44573;admin2;Confirmation of receipt;2012-01-17 10:29:39.271000+00:00;complete;2011-10-04 23:06:40.020000+00:00;Resource02;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10195;2011-12-22 00:06:40+00:00;Internet;2012-01-17 10:29:38.198000+00:00;0.0
240;EMPTY;task-44626;Resource23;Confirmation of receipt;2011-11-07 07:53:41.967000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;0.0
241;Group 4;task-45499;Resource23;T02 Check confirmation of receipt;2011-11-07 07:59:27.936000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;345.969
242;Group 3;task-45501;Resource23;T04 Determine confirmation of receipt;2011-11-07 07:59:55.396000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;27.46
243;Group 2;task-45502;Resource23;T05 Print and send confirmation of receipt;2011-11-07 08:00:26.195000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;30.799
244;Group 1;task-45500;Resource23;T06 Determine necessity of stop advice;2011-11-07 08:03:53.415000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;207.22
245;Group 1;task-45503;Resource23;T10 Determine necessity to stop indication;2011-11-07 08:04:19.919000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource23;2011-12-27 23:00:00.010000+00:00;General;Group 5;case-10196;2011-12-27 23:00:00+00:00;Internet;2011-12-23 15:08:22.587000+00:00;26.504
246;EMPTY;task-44868;Resource03;Confirmation of receipt;2011-11-07 14:41:35.421000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;0.0
247;Group 1;task-45627;Resource03;T06 Determine necessity of stop advice;2011-11-07 14:42:00.650000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;25.229
248;Group 4;task-45626;Resource03;T02 Check confirmation of receipt;2011-11-07 14:42:25.734000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;25.084
249;Group 3;task-45631;Resource03;T04 Determine confirmation of receipt;2011-11-07 14:42:53.160000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;27.426
250;Group 2;task-45632;Resource03;T05 Print and send confirmation of receipt;2011-11-07 14:43:09.610000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;16.45
251;Group 1;task-45630;Resource03;T10 Determine necessity to stop indication;2011-11-07 14:43:33.300000+00:00;complete;2011-10-25 23:06:40.020000+00:00;Resource11;2011-12-21 00:06:40.010000+00:00;General;Group 8;case-10198;2011-12-21 00:06:40+00:00;Internet;2011-12-07 07:50:52.710000+00:00;23.69
252;EMPTY;task-44710;Resource13;Confirmation of receipt;2011-10-31 11:27:03.433000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;0.0
253;EMPTY;task-45152;Resource13;T02 Check confirmation of receipt;2011-10-31 11:27:59.136000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;55.703
254;EMPTY;task-45154;Resource13;T04 Determine confirmation of receipt;2011-10-31 11:29:26.336000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;87.2
255;EMPTY;task-45155;Resource13;T05 Print and send confirmation of receipt;2011-10-31 11:30:30.258000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;63.922
256;Group 1;task-45153;Resource13;T06 Determine necessity of stop advice;2011-10-31 11:30:58.868000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;28.61
257;Group 1;task-45159;Resource13;T10 Determine necessity to stop indication;2011-10-31 11:31:26.913000+00:00;complete;2011-10-17 23:06:40.020000+00:00;Resource13;2011-12-13 00:06:40.010000+00:00;General;Group 5;case-10199;2011-12-13 00:06:40+00:00;Desk;2011-12-07 14:23:56.316000+00:00;28.045
258;EMPTY;task-44758;Resource23;Confirmation of receipt;2011-11-11 10:26:45.553000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;0.0
259;Group 4;task-46355;Resource23;T02 Check confirmation of receipt;2011-11-11 10:27:13.213000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;27.66
260;Group 3;task-46357;Resource23;T04 Determine confirmation of receipt;2011-11-11 10:27:35.312000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;22.099
261;EMPTY;task-46358;Resource23;T05 Print and send confirmation of receipt;2011-11-11 10:28:32.859000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;57.547
262;Group 1;task-46356;Resource23;T06 Determine necessity of stop advice;2011-11-11 10:28:54.141000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;21.282
263;Group 1;task-46360;Resource23;T10 Determine necessity to stop indication;2011-11-11 10:29:22.728000+00:00;complete;2011-10-23 23:06:40.020000+00:00;Resource23;2012-01-10 23:00:00.010000+00:00;General;Group 5;case-10202;2012-01-10 23:00:00+00:00;Desk;2012-01-09 15:52:03.253000+00:00;28.587
264;EMPTY;task-44918;admin2;Confirmation of receipt;2011-11-02 15:23:22.365000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource01;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10210;2011-12-22 00:06:40+00:00;Internet;2011-11-02 15:23:21.225000+00:00;0.0
265;EMPTY;task-44920;Resource03;Confirmation of receipt;2011-11-07 15:10:25.162000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;0.0
266;Group 4;task-45661;Resource03;T02 Check confirmation of receipt;2011-11-07 15:10:46.884000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;21.722
267;Group 3;task-45663;Resource03;T04 Determine confirmation of receipt;2011-11-07 15:11:03.116000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;16.232
268;Group 2;task-45664;Resource03;T05 Print and send confirmation of receipt;2011-11-07 15:11:17.467000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;14.350999999999999
269;Group 1;task-45662;Resource03;T06 Determine necessity of stop advice;2011-11-07 15:11:33.028000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;15.561
270;Group 1;task-45665;Resource03;T10 Determine necessity to stop indication;2011-11-07 15:11:56.020000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10211;2011-12-22 00:06:40+00:00;Internet;2011-11-21 12:48:22.259000+00:00;22.992
271;EMPTY;task-44926;Resource03;Confirmation of receipt;2011-11-07 15:38:30.783000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;0.0
272;Group 4;task-45681;Resource03;T02 Check confirmation of receipt;2011-11-07 15:39:57.124000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;86.341
273;Group 3;task-45683;Resource03;T04 Determine confirmation of receipt;2011-11-07 15:40:14.204000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;17.08
274;Group 2;task-45684;Resource03;T05 Print and send confirmation of receipt;2011-11-07 15:40:27.744000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;13.54
275;Group 1;task-45682;Resource03;T06 Determine necessity of stop advice;2011-11-07 15:40:42.920000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;15.176
276;Group 1;task-45685;Resource03;T10 Determine necessity to stop indication;2011-11-07 15:41:08.668000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10218;2011-12-22 00:06:40+00:00;Internet;2011-12-07 07:59:51.356000+00:00;25.748
277;EMPTY;task-44928;Resource03;Confirmation of receipt;2011-11-08 08:00:30.827000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;0.0
278;Group 4;task-45705;Resource03;T02 Check confirmation of receipt;2011-11-08 08:01:19.566000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;48.739
279;Group 3;task-45707;Resource03;T04 Determine confirmation of receipt;2011-11-08 08:01:39.235000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;19.669
280;Group 2;task-45708;Resource03;T05 Print and send confirmation of receipt;2011-11-08 08:01:56.265000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;17.03
281;Group 1;task-45706;Resource03;T06 Determine necessity of stop advice;2011-11-08 08:02:13.352000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;17.087
282;Group 1;task-45709;Resource03;T10 Determine necessity to stop indication;2011-11-08 08:02:42.865000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-22 00:06:40.010000+00:00;General;Group 8;case-10220;2011-12-22 00:06:40+00:00;Internet;2011-12-07 08:17:33.356000+00:00;29.513
283;EMPTY;task-44932;Resource14;Confirmation of receipt;2011-11-29 11:27:58.006000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;0.0
284;Group 4;task-48452;Resource14;T02 Check confirmation of receipt;2011-11-29 11:29:42.082000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;104.076
285;Group 3;task-48454;Resource14;T04 Determine confirmation of receipt;2011-11-29 11:30:24.691000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;42.609
286;Group 2;task-48455;Resource14;T05 Print and send confirmation of receipt;2011-11-29 11:30:47.253000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;22.562
287;Group 1;task-48453;Resource14;T06 Determine necessity of stop advice;2011-11-29 11:41:42.876000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;655.623
288;Group 1;task-48460;Resource14;T10 Determine necessity to stop indication;2011-11-29 11:43:19.895000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-22 00:06:40.010000+00:00;General;Group 5;case-10221;2011-12-22 00:06:40+00:00;Internet;2011-12-12 14:03:53.791000+00:00;97.019
289;EMPTY;task-44933;Resource22;Confirmation of receipt;2011-11-24 13:48:41.587000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;0.0
290;Group 4;task-47890;Resource22;T02 Check confirmation of receipt;2011-11-24 13:49:36.208000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;54.621
291;Group 3;task-47895;Resource22;T04 Determine confirmation of receipt;2011-11-24 13:50:25.478000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;49.27
292;Group 2;task-47897;Resource22;T05 Print and send confirmation of receipt;2011-11-24 13:51:41.327000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;75.849
293;Group 1;task-47891;Resource22;T06 Determine necessity of stop advice;2011-11-24 14:25:55.356000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;2054.029
294;Group 1;task-47939;Resource22;T10 Determine necessity to stop indication;2011-11-24 14:27:02.129000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource22;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10222;2011-12-21 23:00:00+00:00;Internet;2012-01-05 15:07:21.119000+00:00;66.773
295;EMPTY;task-44935;Resource03;Confirmation of receipt;2011-11-08 08:18:47.312000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;0.0
296;Group 4;task-45740;Resource03;T02 Check confirmation of receipt;2011-11-08 08:20:22.751000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;95.439
297;Group 3;task-45742;Resource03;T04 Determine confirmation of receipt;2011-11-08 08:20:41.418000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;18.667
298;Group 2;task-45743;Resource03;T05 Print and send confirmation of receipt;2011-11-08 08:20:56.808000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;15.39
299;Group 1;task-45741;Resource03;T06 Determine necessity of stop advice;2011-11-08 08:21:16.142000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;19.334
300;Group 1;task-45744;Resource03;T10 Determine necessity to stop indication;2011-11-08 08:21:43.487000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource11;2011-12-21 23:00:00.010000+00:00;General;Group 8;case-10223;2011-12-21 23:00:00+00:00;Internet;2011-12-19 07:48:52.854000+00:00;27.345
301;EMPTY;task-45089;Resource14;Confirmation of receipt;2011-12-07 08:11:29.887000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10225;2011-12-21 23:00:00+00:00;Internet;2012-01-18 11:34:02.740000+00:00;0.0
302;Group 1;task-49272;Resource14;T06 Determine necessity of stop advice;2011-12-07 09:01:02.208000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10225;2011-12-21 23:00:00+00:00;Internet;2012-01-18 11:34:02.740000+00:00;2972.321
303;Group 4;task-49271;Resource14;T02 Check confirmation of receipt;2011-12-07 09:04:22.794000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10225;2011-12-21 23:00:00+00:00;Internet;2012-01-18 11:34:02.740000+00:00;200.586
304;Group 3;task-49296;Resource14;T04 Determine confirmation of receipt;2011-12-07 09:05:05.939000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10225;2011-12-21 23:00:00+00:00;Internet;2012-01-18 11:34:02.740000+00:00;43.145
305;Group 2;task-49298;Resource14;T05 Print and send confirmation of receipt;2011-12-07 09:05:36.523000+00:00;complete;2011-10-26 23:06:40.020000+00:00;Resource14;2011-12-21 23:00:00.010000+00:00;General;Group 5;case-10225;2011-12-21 23:00:00+00:00;Internet;2012-01-18 11:34:02.740000+00:00;30.584
